image_id,question,answer,options
81EGHHUhFrL,What is the pattern?,Wood,"['Wood', 'Floral', 'Striped', 'Polka']"
81EGHHUhFrL,What is the color?,Brown,"['Brown', 'Red', 'Blue', 'Green']"
81EGHHUhFrL,What is the shape?,Rectangle,"['Rectangle', 'Square', 'Circle', 'Triangle']"
81EGLzRYdLL,Which animal is featured?,Lion,"['Lion', 'Tiger', 'Bear', 'Wolf']"
81EGLzRYdLL,What is the main color?,Brown,"['Brown', 'Blue', 'Green', 'Red']"
81EGLzRYdLL,Is the animal facing left?,Yes,"['Yes', 'No', 'Maybe', 'Unsure']"
81EGjIWKinL,What is the box color?,Brown,"['Brown', 'Black', 'Gray', 'Yellow']"
81EGjIWKinL,How many cartridges?,Two,"['Two', 'One', 'Three', 'Four']"
81EGjIWKinL,What is the product?,Cartridge,"['Cartridge', 'Box', 'Paper', 'Printer']"
81EG2VikrVL,What shape is the item?,Rectangle,"['Rectangle', 'Triangle', 'Square', 'Circle']"
81EG2VikrVL,What is the main background color?,Black,"['Black', 'Blue', 'Red', 'Yellow']"
81EG2VikrVL,How many camera lenses are visible?,One,"['One', 'Two', 'Zero', 'Three']"
81EJII3LuWL,What is the item?,Bracelet,"['Bracelet', 'Necklace', 'Earrings', 'Ring']"
81EJII3LuWL,What shade is it?,Silver,"['Silver', 'Gold', 'Bronze', 'Black']"
81EJII3LuWL,What type?,Jewelry,"['Jewelry', 'Clothing', 'Shoes', 'Accessory']"
81EJYPQD4FL,What is this?,Case,"['Case', 'Book', 'Bottle', 'Wallet']"
81EJYPQD4FL,What is the primary color?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81EJYPQD4FL,What is the item's appearance?,Painted,"['Painted', 'Metal', 'Solid', 'Wooden']"
81EMNnLS3zL,What is displayed vertically?,Herbs,"['Herbs', 'Capsules', 'Palmetto', 'Function']"
81EMNnLS3zL,What form are the contents?,Capsules,"['Capsules', 'Powder', 'Liquid', 'Ointment']"
81EMNnLS3zL,What is the color of the container?,Brown,"['Brown', 'Green', 'White', 'Black']"
81EMiJgjHUL,What is the item name?,item_name,"['item_name', 'product_type', 'color', 'object']"
81EMiJgjHUL,What is this?,product_type,"['product_type', 'color', 'phone', 'texture']"
81EMiJgjHUL,What color is it?,color,"['color', 'object', 'multicolored', 'metallic']"
81EMnGMeU3L,What color are the cartridges?,Black,"['Black', 'Blue', 'Green', 'Yellow']"
81EMnGMeU3L,How many cartridges are visible?,Two,"['Two', 'One', 'Three', 'Four']"
81EMnGMeU3L,What size is the cartridge on the right?,XL,"['XL', 'S', 'M', 'L']"
81EN-6lJl3L,What is the item's color?,Green,"['Green', 'Blue', 'Red', 'Yellow']"
81EN-6lJl3L,What is its handle's position?,Up,"['Up', 'Down', 'Sideways', 'Missing']"
81EN-6lJl3L,What is the product type?,Suitcase,"['Suitcase', 'Backpack', 'Duffel', 'Tote']"
81EM6nJGPdL,What shape are shelves?,U,"['U', 'Square', 'Triangle', 'Circle']"
81EM6nJGPdL,How many shelves are present?,Three,"['Three', 'One', 'Two', 'Four']"
81EM6nJGPdL,What's the color of shelves?,Brown,"['Brown', 'Red', 'Blue', 'Green']"
81ENAuivfXL,What is the color mostly on top?,Yellow,"['Blue', 'Red', 'Green', 'Yellow']"
81ENAuivfXL,What is the most prominent pigment?,Yellow,"['Blue', 'Red', 'Yellow', 'White']"
81ENAuivfXL,What is the color on the side?,Yellow,"['Blue', 'Red', 'Yellow', 'Green']"
81ENICMDXxL,What shade is it?,Green,"['Green', 'Blue', 'Red', 'Yellow']"
81ENICMDXxL,What is pictured here?,Fabric,"['Fabric', 'Wood', 'Metal', 'Plastic']"
81ENICMDXxL,How many stacks?,Two,"['Two', 'One', 'Three', 'Four']"
81ENvOcQWKL,What color is the sofa?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81ENvOcQWKL,How many cushions are visible?,Three,"['Three', 'Two', 'Four', 'One']"
81ENvOcQWKL,What is the product type?,Sofa,"['Sofa', 'Chair', 'Table', 'Bed']"
81EO9kqqlsL,What laces are these?,Black,"['Black', 'White', 'Red', 'Blue']"
81EO9kqqlsL,What's item's primary color?,Red,"['Red', 'Blue', 'Green', 'Yellow']"
81EO9kqqlsL,What item is this?,Shoe,"['Shoe', 'Hat', 'Shirt', 'Pants']"
81EOOwxVBLL,What shape is surface?,Oval,"['Oval', 'Square', 'Round', 'Triangle']"
81EOOwxVBLL,What is item used for?,Ironing,"['Ironing', 'Eating', 'Writing', 'Chopping']"
81EOOwxVBLL,What is color of frame?,Black,"['Black', 'White', 'Gray', 'Silver']"
81EOPgVpwEL,What is the product type?,Case,"['Case', 'Shirt', 'Book', 'Pants']"
81EOPgVpwEL,What is the item color?,Brown,"['Brown', 'Blue', 'Red', 'Green']"
81EOPgVpwEL,What is shown?,Phone,"['Phone', 'Book', 'Laptop', 'Tablet']"
81ENEu6qHdL,What is the dominant color?,Blue,"['Red', 'Yellow', 'Green', 'Blue']"
81ENEu6qHdL,What is the item?,Phone,"['Book', 'Tablet', 'Phone', 'Laptop']"
81ENEu6qHdL,What is the item's type?,Case,"['Charger', 'Case', 'Screen', 'Battery']"
81EJYLCZQQL,What color is it?,White,"['White', 'Black', 'Gray', 'Silver']"
81EJYLCZQQL,How many remotes are shown?,One,"['One', 'Two', 'Zero', 'Three']"
81EJYLCZQQL,What's the main shape?,Tall,"['Tall', 'Wide', 'Square', 'Round']"
81ELtMr4qGL,What is the pattern?,Plaid,"['Stripes', 'Floral', 'Dots', 'Plaid']"
81ELtMr4qGL,What is the predominant color?,Blue,"['Green', 'Yellow', 'Orange', 'Blue']"
81ELtMr4qGL,How many cameras are visible?,One,"['Two', 'Three', 'None', 'One']"
81ELZwryvZL,What is the border color?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81ELZwryvZL,What shape is the smallest container?,Round,"['Round', 'Square', 'Triangle', 'Rectangle']"
81ELZwryvZL,What shape are most containers?,Square,"['Square', 'Round', 'Oval', 'Hexagon']"
81EJkALt37L,What color is it?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81EJkALt37L,Is it covering head?,Yes,"['Yes', 'No', 'Maybe', 'Perhaps']"
81EJkALt37L,What part of face is visible?,Ear,"['Ear', 'Eye', 'Nose', 'Mouth']"
81EJnPsT3TL,What's the item?,scarf,"['scarf', 'dress', 'hat', 'shirt']"
81EJnPsT3TL,What hue is it?,gray,"['gray', 'blue', 'red', 'green']"
81EJnPsT3TL,Is it thick?,yes,"['yes', 'no', 'maybe', 'unsure']"
81EJvBecysL,What glitter color is predominantly on the item?,Gold,"['Gold', 'Silver', 'Bronze', 'Pink']"
81EJvBecysL,What zig-zag pattern is the primary one featured?,Chevron,"['Chevron', 'Herringbone', 'Houndstooth', 'Tartan']"
81EJvBecysL,What item color makes up the base?,Pink,"['Pink', 'Gold', 'White', 'Black']"
81EKCTHA0FL,What object is present?,Phone,"['Phone', 'Bottle', 'Wallet', 'Keys']"
81EKCTHA0FL,What is a visible color?,Blue,"['Blue', 'Black', 'Silver', 'Gray']"
81EKCTHA0FL,What's the item category?,Case,"['Case', 'Charger', 'Screen', 'Adapter']"
81EKFtgNv4L,What is the primary color?,Blue,"['Blue', 'Green', 'Red', 'White']"
81EKFtgNv4L,What shape is in center?,Square,"['Square', 'Circle', 'Triangle', 'Rectangle']"
81EKFtgNv4L,What item is present?,Case,"['Case', 'Phone', 'Wallet', 'Book']"
81ELaEGQROL,What is the product?,Shoes,"['Shoes', 'Bag', 'Shirt', 'Hat']"
81ELaEGQROL,What is the color?,Black,"['Black', 'Blue', 'Green', 'Red']"
81ELaEGQROL,How many stripes?,Four,"['Four', 'One', 'Three', 'Five']"
81EKJ+KfY-L,What is shown?,Case,"['Case', 'Bottle', 'Towel', 'Shoes']"
81EKJ+KfY-L,Which color dominates?,Yellow,"['Yellow', 'Green', 'Brown', 'White']"
81EKJ+KfY-L,What type is this?,Product,"['Product', 'Plant', 'Animal', 'Food']"
81EKdLS6F3L,What pattern is visible?,Smiley,"['Smiley', 'Striped', 'Floral', 'Checkered']"
81EKdLS6F3L,What color is shown?,White,"['White', 'Red', 'Blue', 'Green']"
81EKdLS6F3L,What object is shown?,Case,"['Case', 'Bottle', 'Shoes', 'Book']"
81EKmaEcl0L,What color are the items?,Black,"['Black', 'Blue', 'Red', 'Green']"
81EKmaEcl0L,How many items?,Two,"['Two', 'One', 'Three', 'Four']"
81EKmaEcl0L,What's the product?,Suitcase,"['Suitcase', 'Backpack', 'Box', 'Crate']"
81EKnx3vVcL,What color is the case?,White,"['White', 'Black', 'Green', 'Red']"
81EKnx3vVcL,What type is it?,Case,"['Case', 'Charger', 'Screen', 'Adapter']"
81EKnx3vVcL,Is it round?,No,"['No', 'Yes', 'Maybe', 'Unsure']"
81EL3bveFNL,What word is spelled?,LIKE,"['LOVE', 'LIFE', 'LIKE', 'LIVE']"
81EL3bveFNL,What shapes are visible?,Squares,"['Triangles', 'Circles', 'Squares', 'Rectangles']"
81EL3bveFNL,What covers the back?,Squares,"['Dots', 'Stripes', 'Flowers', 'Squares']"
81EKMOVLbjL,What size is written?,250g,"['250g', '300g', '100g', '500g']"
81EKMOVLbjL,What phrase is bolded?,Organic,"['Organic', 'Sweetened', 'Dried', 'Cranberries']"
81EKMOVLbjL,What type of fruit?,Cranberries,"['Cranberries', 'Apples', 'Cherries', 'Raisins']"
81EY5wkekXL,What letter is printed?,A,"['A', 'B', 'C', 'D']"
81EY5wkekXL,What is the phone's color?,Black,"['Black', 'White', 'Red', 'Blue']"
81EY5wkekXL,What type of item?,Case,"['Case', 'Wallet', 'Charger', 'Screen']"
81EYBtJem1L,What is the dominant color?,Blue,"['Blue', 'Green', 'Yellow', 'Orange']"
81EYBtJem1L,What object is depicted?,Phone,"['Phone', 'Tablet', 'Book', 'Wallet']"
81EYBtJem1L,What is the style?,Abstract,"['Abstract', 'Realistic', 'Cartoon', 'Geometric']"
81EkVbVZz0L,What color is it?,Gold,"['Gold', 'Black', 'Silver', 'Blue']"
81EkVbVZz0L,What is it covered with?,Glitter,"['Glitter', 'Paint', 'Leather', 'Fabric']"
81EkVbVZz0L,What pattern does it have?,Sparkles,"['Sparkles', 'Stripes', 'Dots', 'Plaid']"
81EkpW3qwnL,What is the background's color?,Black,"['Black', 'White', 'Pink', 'Green']"
81EkpW3qwnL,What is the design's main shape?,Elephant,"['Elephant', 'Circle', 'Square', 'Triangle']"
81EkpW3qwnL,What item is this?,Case,"['Case', 'Bottle', 'Notebook', 'Pillow']"
81Eky2ETUOL,What color is it?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81Eky2ETUOL,How many feet?,Two,"['Two', 'One', 'Three', 'None']"
81Eky2ETUOL,What is it?,Case,"['Case', 'Book', 'Phone', 'Laptop']"
81Eky7qvQQL,What is the item?,Case,"['Case', 'Charger', 'Phone', 'Adapter']"
81Eky7qvQQL,What is the color?,Grey,"['Grey', 'Red', 'Blue', 'Green']"
81Eky7qvQQL,What is the type?,Case,"['Case', 'Screen', 'Cable', 'Charger']"
81El2LYrxnL,What is the main hue?,Green,"['Green', 'Blue', 'White', 'Red']"
81El2LYrxnL,What shape is the object?,Rectangle,"['Rectangle', 'Square', 'Circle', 'Triangle']"
81El2LYrxnL,What is pictured?,Cliff,"['Cliff', 'Beach', 'City', 'Forest']"
81ElONln3KL,What color is the lid?,Green,"['Green', 'White', 'Red', 'Blue']"
81ElONln3KL,What is the brand number?,365,"['365', '450', '270', '100']"
81ElONln3KL,What word is in large bold?,Tahini,"['Tahini', 'Organic', 'Foods', 'Market']"
81ElRs-jxqL,What is the item made of?,Gold,"['Silver', 'Gold', 'Copper', 'Bronze']"
81ElRs-jxqL,What is its primary color?,Green,"['Red', 'Green', 'Blue', 'Yellow']"
81ElRs-jxqL,What is the item type?,Necklace,"['Ring', 'Bracelet', 'Earrings', 'Necklace']"
81ElmLiyawL,What is the necklace's hue?,Gold,"['Gold', 'Silver', 'Bronze', 'Copper']"
81ElmLiyawL,What form is this ornament?,Round,"['Round', 'Square', 'Triangle', 'Oval']"
81ElmLiyawL,What is this called?,Necklace,"['Necklace', 'Bracelet', 'Ring', 'Brooch']"
81Elufiz1qL,What material are they?,Suede,"['Suede', 'Leather', 'Rubber', 'Canvas']"
81Elufiz1qL,What is this?,Shoe,"['Shoe', 'Hat', 'Belt', 'Scarf']"
81Elufiz1qL,What is the color?,Brown,"['Brown', 'Blue', 'Black', 'Gray']"
81Em2hJl5NL,What snack is shown?,Chips,"['Chips', 'Cookies', 'Pretzels', 'Crackers']"
81Em2hJl5NL,What is the flavor?,Cheddar,"['Cheddar', 'Salt', 'Vinegar', 'Onion']"
81Em2hJl5NL,What is the color?,Orange,"['Orange', 'Green', 'Yellow', 'Blue']"
81EmA8IgoKL,What is the main color?,Red,"['Red', 'Blue', 'Green', 'Yellow']"
81EmA8IgoKL,What is shown in the image?,Case,"['Case', 'Shirt', 'Bottle', 'Mug']"
81EmA8IgoKL,How many colors are visible?,Multiple,"['Multiple', 'One', 'Two', 'Three']"
81EkQFVk9lL,What is the primary color?,Yellow,"['Yellow', 'Blue', 'Red', 'Green']"
81EkQFVk9lL,What kind of item is this?,Case,"['Case', 'Phone', 'Charger', 'Headphones']"
81EkQFVk9lL,How many colors are visible?,Multiple,"['Multiple', 'One', 'Two', 'Three']"
81EkF8hup1L,What fruit is pictured?,Pineapple,"['Pineapple', 'Orange', 'Banana', 'Apple']"
81EkF8hup1L,What's the color of the fruit?,Yellow,"['Yellow', 'Blue', 'Green', 'Red']"
81EkF8hup1L,What is the background texture?,Rough,"['Rough', 'Smooth', 'Grainy', 'Soft']"
81EgvnvE6LL,What color is the case?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81EgvnvE6LL,What is this?,Case,"['Case', 'Phone', 'Charger', 'Screen']"
81EgvnvE6LL,What pattern is on the case?,Frost,"['Frost', 'Floral', 'Stripes', 'Dots']"
81EhCpLJ50L,What is the color?,Brown,"['Brown', 'Blue', 'Red', 'Green']"
81EhCpLJ50L,What is the item?,Chair,"['Chair', 'Table', 'Lamp', 'Vase']"
81EhCpLJ50L,What is the type?,Furniture,"['Furniture', 'Textile', 'Apparel', 'Food']"
81EhDGtcSEL,What shade is visible?,Yellow,"['Yellow', 'Black', 'White', 'Purple']"
81EhDGtcSEL,What is the item?,Shoe,"['Shoe', 'Shirt', 'Pant', 'Hat']"
81EhDGtcSEL,Are laces apparent?,Yes,"['Yes', 'No', 'Maybe', 'Unsure']"
81EhDvMij1L,What is the predominant color?,Gray,"['Gray', 'Red', 'Blue', 'Green']"
81EhDvMij1L,What is the pattern shape?,Square,"['Square', 'Circle', 'Triangle', 'Oval']"
81EhDvMij1L,What is this?,Case,"['Case', 'Book', 'Pillow', 'Plate']"
81EkOCfuTtL,What covers the device?,Paint,"['Paint', 'Leather', 'Fabric', 'Metal']"
81EkOCfuTtL,What's on the case?,Abstract,"['Abstract', 'Floral', 'Stripes', 'Solid']"
81EkOCfuTtL,What is this?,Case,"['Case', 'Wallet', 'Book', 'Frame']"
81EhzIboa2L,What animal is shown?,Unicorn,"['Unicorn', 'Horse', 'Dog', 'Cat']"
81EhzIboa2L,What shape is present?,Heart,"['Heart', 'Square', 'Triangle', 'Circle']"
81EhzIboa2L,What is the main color?,Black,"['Black', 'Pink', 'White', 'Blue']"
81Ei3-nKsKL,What is the dominant color?,Yellow,"['Yellow', 'Blue', 'Red', 'Green']"
81Ei3-nKsKL,What is this?,Case,"['Case', 'Towel', 'Pillow', 'Sheet']"
81Ei3-nKsKL,Are there rocks?,Yes,"['Yes', 'No', 'Maybe', 'Unknown']"
81EiE6qDEQL,What is the primary color?,Black,"['Black', 'White', 'Red', 'Blue']"
81EiE6qDEQL,What is item's type?,Cover,"['Cover', 'Phone', 'Case', 'Tablet']"
81EiE6qDEQL,How many colors present?,Two,"['Two', 'One', 'Three', 'Four']"
81EisWXwMsL,What is the predominant color?,Pink,"['Pink', 'Blue', 'Green', 'Yellow']"
81EisWXwMsL,What animal is displayed?,Cat,"['Cat', 'Dog', 'Lion', 'Bear']"
81EisWXwMsL,What is the item?,Case,"['Case', 'Phone', 'Card', 'Wallet']"
81Ej5xPGQTL,What material is the stack made of?,Rocks,"['Rocks', 'Wood', 'Metal', 'Glass']"
81Ej5xPGQTL,What is above the rocks?,Sky,"['Sky', 'Ground', 'Trees', 'Building']"
81Ej5xPGQTL,What is the overall scene?,Outdoor,"['Outdoor', 'Indoor', 'Restaurant', 'Office']"
81Ei1bWNqrL,What is its color?,Black,"['Black', 'Silver', 'Gold', 'Brown']"
81Ei1bWNqrL,What is this item?,Necklace,"['Necklace', 'Bracelet', 'Ring', 'Earrings']"
81Ei1bWNqrL,What is the main feature?,Chain,"['Chain', 'Pendant', 'Beads', 'Leather']"
81EgtuEwPML,What shape is it?,Rectangular,"['Rectangular', 'Round', 'Square', 'Triangle']"
81EgtuEwPML,What is the item?,Ottoman,"['Ottoman', 'Chair', 'Table', 'Sofa']"
81EgtuEwPML,What is the color?,Gray,"['Gray', 'Blue', 'Red', 'Green']"
81EmL91C6mL,What fruit is shown?,Apple,"['Apple', 'Orange', 'Banana', 'Grapes']"
81EmL91C6mL,What is the predominant color?,Yellow,"['Yellow', 'Blue', 'Red', 'Green']"
81EmL91C6mL,What is the item?,Case,"['Case', 'Phone', 'Wallet', 'Charger']"
81EmlXJEhoL,What is the primary color?,Gold,"['Gold', 'Silver', 'Black', 'White']"
81EmlXJEhoL,Is the item speckled?,Yes,"['Yes', 'No', 'Maybe', 'Unsure']"
81EmlXJEhoL,What is the texture?,Sparkly,"['Sparkly', 'Plain', 'Smooth', 'Rough']"
81EmywTo-gL,What color is the item?,White,"['White', 'Black', 'Blue', 'Red']"
81EmywTo-gL,What is the item's condition?,New,"['New', 'Old', 'Used', 'Damaged']"
81EmywTo-gL,What is the lighting?,Bright,"['Bright', 'Dark', 'Dim', 'Gloomy']"
81EnCjGBwRL,What is the main color?,Brown,"['Brown', 'Blue', 'Green', 'Red']"
81EnCjGBwRL,What is the item?,Bag,"['Bag', 'Shoe', 'Dress', 'Shirt']"
81EnCjGBwRL,What shape is pattern?,Chevron,"['Chevron', 'Floral', 'Striped', 'Polka']"
81EnP8zYo+L,What color is it?,Brown,"['Brown', 'Blue', 'Green', 'Red']"
81EnP8zYo+L,What type is it?,Chair,"['Chair', 'Table', 'Sofa', 'Bed']"
81EnP8zYo+L,Is it big?,No,"['No', 'Yes', 'Maybe', 'Unsure']"
81EnX8kHEmL,What color is the peppercorns?,Black,"['Black', 'White', 'Red', 'Green']"
81EnX8kHEmL,What is the container made of?,Glass,"['Glass', 'Plastic', 'Metal', 'Wood']"
81EnX8kHEmL,What is the first word in the brand name?,Happy,"['Happy', 'Organic', 'Whole', 'Black']"
